int	 |PE|	 CPP	 (1-CPP)*(1-MC)	 hit	 Group	 
0.00054155	0.061574	-0.33894	-0.24224	0.22358	0
0.014072	0.017686	-0.17262	-0.067724	0.18597	0
0.003359	-0.16867	0.008408	0.039643	0.045082	0
0.012916	-0.19218	-0.023545	-0.2326	0.33274	0
-0.0010625	-0.058475	-0.23227	-0.2615	0.27101	0
0.0095248	0.026952	-0.16117	-0.028967	0.11555	0
0.023956	-0.11001	-0.048681	-0.09195	0.048058	0
0.010856	-0.14166	-0.11488	-0.21272	0.10498	0
0.00039644	-0.057267	-0.19032	-0.27373	0.34131	0
0.0099391	-0.22364	0.21119	0.035475	0.51947	0
-0.029131	0.36688	-0.57847	-0.17364	-0.17686	0
0.0079892	-0.1398	0.0036404	-0.12722	0.34697	0
0.0053842	0.14163	-0.16739	-0.15318	0.27628	0
0.010205	-0.093621	-0.25454	-0.29446	0.18947	0
0.0087633	-0.082452	-0.13206	-0.23126	0.23355	0
0.040122	-0.094022	0.28809	0.16854	0.1402	0
0.0038154	-0.11914	0.026929	-0.042056	0.28201	0
0.0096544	-0.066836	-0.023312	0.050527	0.18713	0
0.012864	-0.51218	0.59612	0.077119	0.22748	0
0.024944	-0.079253	-0.11248	-0.19691	0.28626	0
0.00085535	-0.085631	-0.21112	-0.36473	0.23695	0
0.0068992	-0.29842	-0.27945	-0.41892	0.19334	0
0.0062987	0.068464	-0.14179	-0.14615	0.18776	0
0.0098886	0.40965	-0.51055	-0.1417	0.30894	0
0.0066108	0.09282	-0.14873	-0.029674	0.37414	1
0.026512	0.27884	-0.36567	-0.051649	0.23118	1
0.0080531	0.097363	-0.58682	-0.33037	0.35133	1
-0.005467	-0.14525	-0.25304	-0.37653	0.14233	1
0.023718	0.10636	-0.8704	-0.56449	0.014154	1
0.027183	-0.14667	-0.71546	-0.56695	0.12773	1
0.035415	0.12251	-0.38165	-0.17506	0.0042738	1
0.016684	0.065118	-0.070173	-0.001856	-0.01057	1
0.0023213	-0.022302	-0.47725	-0.5211	0.2184	1
0.011551	-0.026058	-0.32551	-0.1907	0.28737	1
0.061227	-0.25579	0.31232	0.14026	0.23908	1
0.044512	-0.25805	-0.29178	-0.45106	0.17401	1
0.001854	-0.045908	-0.41801	-0.39856	0.21808	1
0.0088898	-0.1654	-0.097126	-0.14866	0.23442	1
0.01839	-0.11766	0.08554	-0.074083	0.11565	1
0.0021051	-0.19491	-0.054526	-0.29388	0.58757	1
0.01478	-0.012448	0.025967	-0.07407	0.22863	1
0.020279	0.041738	-0.070718	-0.10967	0.13941	1
-0.003753	-0.012487	-0.35138	-0.40449	0.13309	1
0.020761	-0.38267	-0.0039911	-0.11109	-0.087031	1
0.0014793	-0.33409	0.29899	0.14352	0.090493	1
0.004812	-0.34224	0.25581	-0.036246	0.20371	1
6.3114e-05	0.178	-0.28612	-0.30861	0.35626	1
0.038341	-0.018489	-0.27516	-0.27168	0.33916	1
0.005607	-0.02765	-0.065086	-0.15066	0.39181	1
