int	 diff|Update|	 Group	 OCI	 Groupcheck	 
0.69739	-0.032737	0	27	0
0.45944	0.064266	0	26	0
0.54116	0.074298	0	9	0
0.45427	0.05942	0	21	0
0.68719	0.066714	0	28	0
0.94264	-0.0084109	0	36	0
1.0134	0.10943	0	31	0
0.44664	0.15052	0	16	0
0.62157	0.073877	0	35	0
0.92041	0.077807	0	30	0
0.86619	0.085812	0	49	0
0.90439	0.022015	0	30	0
0.73395	0.057777	0	19	0
0.91679	0.0016058	0	35	0
0.56515	-0.034865	0	62	0
0.9262	0.071007	0	27	0
0.69476	0.059732	0	29	0
0.92982	0.048795	0	10	0
1.1315	-0.079174	0	44	0
0.59075	0.13893	0	37	0
0.58119	0.024138	0	20	0
0.69509	0.14474	0	20	0
1.0399	-0.032361	0	36	0
0.97751	0.063129	0	25	0
0.73099	0.1903	1	5	1
0.80757	0.054291	1	17	1
0.70212	0.039903	1	6	1
0.66747	0.051215	1	8	1
0.51968	0.1727	1	8	1
0.6024	0.37997	1	2	1
0.4482	0.056009	1	6	1
1.1651	-0.045859	1	0	1
0.52745	0.10452	1	4	1
0.87058	0.16631	1	5	1
0.64646	0.17652	1	2	1
0.59685	0.22028	1	6	1
0.60309	0.1207	1	14	1
0.61171	0.11276	1	2	1
0.86922	0.091917	1	6	1
0.75555	0.17575	1	6	1
0.60634	0.068631	1	7	1
0.60382	0.094093	1	1	1
0.32682	-0.0090498	1	4	1
0.73682	0.24152	1	11	1
0.54729	0.23582	1	25	1
0.90361	0.063877	1	22	1
0.54124	0.11351	1	1	1
0.67131	0.095577	1	11	1
0.73377	0.039984	1	12	1
