int	 |PE|	 CPP	 (1-CPP)*(1-MC)	 hit	 Group	 
9.2714	0.62272	0.3195	0.58501	-0.70956	0
2.9542	1.1574	-0.22967	-0.95877	-1.1155	0
5.8348	0.15712	0.72508	1.7155	-0.75917	0
8.6856	0.93281	-0.023867	0.16611	-0.76889	0
11.169	0.28667	0.43827	0.92985	-1.176	0
8.6582	0.74942	0.028742	0.92169	-1.4807	0
5.7822	0.37682	0.47747	0.93337	-0.62507	0
1.2736	0.41961	0.47413	0.58177	-0.68687	0
3.763	1.0373	-0.11801	-0.081853	-1.0012	0
3.271	0.52314	0.35361	0.37062	-0.84329	0
1.4029	0.76106	0.21216	-0.12455	-0.50663	0
9.7489	0.29451	0.39725	0.62761	-1.0056	0
1.36	1.233	-0.3041	-0.37353	-1.0492	0
4.6605	0.58853	0.37665	0.64729	-0.83715	0
9.2298	0.57945	0.32466	2.02	-1.098	0
1.8347	0.059302	0.77021	1.002	-0.49364	0
3.7515	0.77372	0.13742	0.90856	-1.1815	0
5.1064	0.46595	0.49289	0.59035	-0.992	0
15.422	0.55039	0.22668	0.82266	-1.0149	0
2.7713	0.98975	-0.065183	0.064913	-0.84888	0
3.162	0.50373	0.38864	0.84562	-0.59834	0
2.0376	0.1209	0.84465	1.0753	-0.50727	0
4.0792	0.0024956	0.81533	1.0808	-0.56909	0
11.426	0.41251	0.46786	0.80857	-0.83394	0
0.64295	0.55079	0.3956	0.023448	-0.60093	1
0.26766	0.56082	0.3976	0.042006	-0.48406	1
6.4701	-0.36078	0.87065	4.0331	-1.2301	1
3.8156	0.13046	0.68668	0.64068	-0.54252	1
1.0996	0.31719	0.70242	0.73329	-0.44362	1
3.4288	0.010017	0.76135	1.1477	-0.54838	1
6.6847	0.20487	0.62365	0.20989	-0.55459	1
10.211	-0.17305	0.82225	0.13653	-0.66977	1
4.111	0.56789	0.36041	0.35064	-0.63013	1
4.8542	0.18813	0.68914	1.1236	-0.61494	1
1.3563	0.94532	-0.056377	-0.11117	-0.98298	1
0.64693	0.36373	0.57283	0.43399	-0.53761	1
7.7202	0.27033	0.53438	1.8876	-1.0785	1
10.707	0.72355	0.12961	0.60841	-1.3407	1
1.9085	0.58038	0.3225	0.80217	-0.69366	1
1.2424	0.54596	0.37096	0.28306	-0.72388	1
6.1857	-0.05133	0.73682	1.747	-0.78043	1
10.782	-0.62348	1.2056	1.3097	-0.52682	1
10.602	-0.44277	0.90119	2.4591	-1.0725	1
2.895	-0.0080494	0.83186	2.0108	-0.83036	1
6.9706	0.59903	0.20589	0.33942	-1.1252	1
4.9787	0.32305	0.56766	0.24361	-0.73892	1
0.58698	0.60552	0.41103	0.27305	-0.71134	1
0.25625	0.2326	0.7393	0.20023	-0.2564	1
8.5963	0.54527	0.3322	0.46346	-0.82509	1
